type,pre_col,par_mean,k_mean,par_median,k_median,state,mr_kq5_pq1,mr_ktop1_pq1
1,65456.23267,65456.23267,34724.02799,51800,30500,CA,0.02964537,0.00049789879
2,207971.9583,207971.9583,109616.2766,139800,82400,CA,0.029232727,0.0060680341
3,64024.20347,64024.20347,35981.13638,52400,33600,CA,0.030289005,0.0004228731
1,126254.5199,126254.5199,38719.98498,96000,35500,CA,0.016260199,0.00048747731
1,48809.86005,48809.86005,31419.64231,34300,25800,CA,0.048198018,0
3,36129.47396,36129.47396,18241.47721,29500,16700,CA,0.01266721,0.003007804
1,120056.0569,120056.0569,36744.72466,81200,30900,CA,0.0234816,0.00047856205
1,77913.88572,77913.88572,35529.0356,63600,30000,CA,0.027805742,0.00031489358
2,114744.1669,114744.1669,52419.90745,81300,43200,CA,0.032972757,0.0017199453
1,86911.49272,86911.49272,29165.23549,64600,22100,CA,0.013964919,0
1,138317.9167,138317.9167,43559.75651,109500,37300,CA,0.0080153681,0.000088935623
1,75203.63296,75203.63296,29902.41728,64200,23300,CA,0.018295955,0.000036209462
3,98614.81078,98614.81078,31692.84783,64800,27600,CA,0.02866322,0.000047194128
1,64488.08889,64488.08889,33103.55944,49900,28100,CA,0.033059396,0.00022858813
1,62361.81124,62361.81124,33390.78677,41400,28400,CA,0.040576592,0.00053286512
1,85024.17192,85024.17192,35325.04732,71900,31200,CA,0.019838752,0.00011311699
2,314268.5526,314268.5526,66238.50992,131800,56200,CA,0.024588708,0.0016685484
3,56079.01004,56079.01004,31827.19838,48400,32300,CA,0.014236747,0
3,71783.10046,71783.10046,15921.03343,44200,11400,CA,0.0073281811,0.000035443147
2,298825.9479,298825.9479,34001.24089,104900,31300,CA,0.018336337,0.0024247994
2,142117.1266,142117.1266,46047.74651,87700,30700,CA,0.010637505,0.000015026671
1,78956.25672,78956.25672,27068.71581,51900,21400,CA,0.012631007,0.0000088304723
1,59779.38897,59779.38897,30197.23791,48400,25400,CA,0.022773577,0.00027372569
3,47744.54688,47744.54688,15524.98861,35800,19000,CA,0,0
2,167050.5976,167050.5976,47127.57476,79100,40200,CA,0.032862529,0.0059159733
1,108409.5196,108409.5196,34171.06008,71200,26500,CA,0.015323631,0.00065469282
1,95532.72385,95532.72385,34167.75012,66100,27200,CA,0.018193007,0.00045307627
1,76053.56088,76053.56088,36643.54248,62800,30800,CA,0.029531231,0.00085259444
2,67906.38965,67906.38965,48089.91409,48500,44900,CA,0.063886866,0.0015052154
